accuracy,congruity,height,response,rt,stimulus,subject_nr,targetSide,width,md,auc,xflips,init_time
1,incongruent,1050,2,438,rightIncongruent.jpg,120,right,1680,-0.137516237,-0.169206537,0,120
1,incongruent,1050,2,448,rightIncongruent.jpg,120,right,1680,-0.071726093,-0.0736149,0,220
0,incongruent,1050,1,456,rightIncongruent.jpg,120,right,1680,-0.07321375,-0.043345225,0,200
1,congruent,1050,2,478,rightCongruent.jpg,120,right,1680,0.108382543,0.06480189,0,240
1,congruent,1050,1,496,leftCongruent.jpg,117,left,1680,-0.12747969,-0.137396006,0,260
1,congruent,1050,1,508,leftCongruent.jpg,117,left,1680,0.088324645,-0.03016681,0,260
1,congruent,1050,1,509,leftCongruent.jpg,117,left,1680,0.10658339,0.050783493,0,220
1,congruent,1050,2,518,rightCongruent.jpg,117,right,1680,-0.097398876,-0.103530924,0,280
1,incongruent,1050,1,523,leftIncongruent.jpg,117,left,1680,-0.225772115,-0.254861203,0,300
1,congruent,1050,1,525,leftCongruent.jpg,117,left,1680,0.087008703,0.01889238,0,280
1,congruent,1050,1,526,leftCongruent.jpg,128,left,1680,-0.114912065,-0.080697172,0,40
1,congruent,1050,2,529,rightCongruent.jpg,128,right,1680,0.120881851,0.105056885,0,200
1,congruent,1050,2,530,rightCongruent.jpg,117,right,1680,0.08730957,-0.061705379,0,320
1,congruent,1050,1,531,leftCongruent.jpg,117,left,1680,-0.104492446,-0.118715106,0,320
1,congruent,1050,1,532,leftCongruent.jpg,101,left,1680,-0.153572483,-0.166571829,0,120
1,congruent,1050,2,533,rightCongruent.jpg,117,right,1680,-0.059170565,-0.076546022,0,320
1,incongruent,1050,1,533,leftIncongruent.jpg,122,left,1680,0.279784384,0.366813489,0,40
1,congruent,1050,1,533,leftCongruent.jpg,128,left,1680,-0.172624046,-0.195188702,0,40
1,congruent,1050,2,534,rightCongruent.jpg,117,right,1680,-0.076983411,-0.069358442,0,340
1,congruent,1050,1,534,leftCongruent.jpg,117,left,1680,-0.104975946,-0.125121702,0,300
