"accuracy","congruity","height","response","rt","stimulus","subject_nr","tTrajectory","targetSide","width","xTrajectory","yTrajectory"
"1","incongruent","1050","2","761","rightIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0]","right","1680","[844, 852, 863, 871, 877, 887, 899, 903, 903, 903, 903, 906, 907, 914, 925, 940, 943, 939, 911, 887, 874, 864, 869, 889, 915, 992, 1070, 1181, 1227, 1277, 1317, 1331, 1335, 1337, 1339, 1344, 1349, 1367, 1382, 1403, 1407, 1416, 1424, 1437, 1445, 1462, 1496, 1526, 1548, 1594, 1619, 1624, 1624, 1624]","[1001, 986, 965, 946, 932, 910, 880, 861, 846, 815, 797, 777, 771, 749, 727, 694, 678, 651, 615, 588, 573, 550, 517, 492, 476, 444, 427, 402, 386, 361, 325, 298, 283, 263, 237, 217, 206, 186, 173, 158, 154, 140, 131, 118, 111, 106, 101, 99, 97, 91, 85, 84, 84, 84]"
"1","incongruent","1050","2","857","rightIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0]","right","1680","[840, 842, 850, 866, 870, 883, 884, 887, 889, 897, 901, 909, 913, 919, 934, 945, 960, 985, 1044, 1102, 1146, 1249, 1330, 1435, 1458, 1549, 1601, 1661, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1678, 1676, 1672, 1669, 1646, 1623, 1589, 1581, 1553, 1540, 1536, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]","[1010, 1008, 1009, 1009, 1009, 1005, 1002, 1000, 999, 997, 997, 993, 988, 982, 966, 948, 933, 907, 861, 822, 796, 738, 691, 630, 615, 543, 481, 403, 369, 321, 262, 226, 209, 185, 180, 180, 180, 180, 178, 174, 172, 171, 169, 166, 164, 155, 145, 133, 129, 116, 105, 100, 98, 98, 98, 98, 96, 92, 90, 88, 88]"
"1","incongruent","1050","1","717","leftIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0]","left","1680","[838, 838, 838, 836, 836, 834, 830, 826, 824, 824, 822, 820, 819, 819, 819, 821, 826, 832, 838, 843, 843, 839, 823, 807, 768, 753, 689, 638, 569, 535, 487, 423, 373, 341, 295, 238, 208, 204, 194, 189, 184, 176, 174, 152, 131, 111, 104, 102, 102, 102, 102]","[1009, 1009, 1009, 1008, 1008, 1008, 1008, 1008, 1008, 1008, 1008, 1007, 1005, 1003, 999, 988, 976, 965, 950, 918, 895, 875, 830, 789, 723, 706, 642, 594, 536, 504, 456, 392, 342, 310, 262, 206, 178, 175, 171, 170, 172, 172, 172, 162, 150, 130, 123, 120, 120, 120, 120]"
"1","incongruent","1050","2","721","rightIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0]","right","1680","[840, 840, 840, 840, 840, 844, 847, 852, 854, 862, 865, 880, 889, 901, 921, 928, 933, 948, 980, 1025, 1040, 1103, 1153, 1221, 1253, 1300, 1351, 1381, 1397, 1415, 1427, 1429, 1429, 1435, 1437, 1438, 1438, 1442, 1453, 1475, 1491, 1514, 1538, 1543, 1543, 1545, 1555, 1565, 1573, 1586, 1586]","[1010, 1010, 1010, 1010, 1010, 1007, 999, 984, 980, 959, 940, 908, 891, 862, 815, 778, 750, 707, 642, 580, 564, 500, 447, 378, 346, 298, 236, 195, 169, 135, 98, 79, 70, 60, 57, 56, 56, 54, 50, 48, 48, 48, 48, 49, 49, 51, 52, 54, 54, 54, 54]"
"1","incongruent","1050","1","767","leftIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0]","left","1680","[846, 848, 856, 862, 867, 867, 868, 869, 871, 874, 882, 895, 906, 914, 940, 968, 1019, 1043, 1089, 1151, 1198, 1220, 1233, 1224, 1201, 1185, 1135, 1099, 1037, 1018, 932, 861, 767, 720, 653, 560, 489, 442, 347, 277, 189, 171, 120, 108, 106, 104, 98, 94, 93, 93, 91, 91, 90, 90]","[998, 994, 978, 966, 950, 942, 931, 916, 904, 895, 877, 848, 824, 808, 772, 735, 679, 651, 604, 540, 492, 457, 408, 344, 297, 271, 227, 206, 180, 175, 153, 138, 124, 118, 106, 87, 69, 56, 25, 3, 0, 0, 0, 0, 0, 0, 2, 6, 9, 11, 13, 13, 16, 16]"
"1","congruent","1050","2","1181","rightCongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0]","right","1680","[840, 840, 840, 839, 839, 837, 836, 836, 836, 836, 836, 836, 836, 838, 839, 845, 856, 869, 884, 910, 950, 990, 1021, 1082, 1128, 1184, 1196, 1244, 1283, 1342, 1372, 1411, 1444, 1465, 1478, 1503, 1522, 1539, 1542, 1551, 1552, 1554, 1556, 1558, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1560, 1559, 1556, 1546, 1534, 1521, 1518, 1507, 1503, 1503, 1503, 1502, 1505, 1507, 1511, 1515, 1519, 1523, 1525, 1527, 1528, 1529, 1529, 1529]","[1010, 1010, 1010, 1011, 1011, 1011, 1010, 1010, 1010, 1008, 1008, 1008, 1004, 998, 995, 981, 962, 941, 927, 902, 860, 827, 801, 746, 699, 635, 618, 551, 503, 437, 405, 358, 297, 260, 241, 212, 194, 174, 170, 160, 154, 148, 144, 136, 130, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 130, 132, 141, 149, 158, 160, 168, 171, 171, 171, 166, 160, 152, 146, 137, 130, 123, 121, 118, 116, 114, 114, 114]"
"1","congruent","1050","1","623","leftCongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0]","left","1680","[838, 836, 836, 834, 833, 825, 821, 812, 806, 799, 794, 794, 796, 806, 828, 848, 858, 858, 838, 786, 771, 706, 641, 579, 536, 484, 421, 377, 347, 293, 263, 237, 231, 206, 191, 183, 178, 175, 164, 141, 124, 120, 120, 120]","[1005, 994, 988, 978, 976, 961, 949, 924, 911, 889, 856, 825, 801, 768, 720, 681, 655, 603, 557, 495, 479, 410, 344, 293, 261, 213, 159, 129, 113, 94, 87, 87, 87, 87, 87, 87, 87, 87, 85, 83, 81, 81, 81, 81]"
"1","congruent","1050","2","740","rightCongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0]","right","1680","[831, 819, 814, 813, 813, 808, 799, 791, 776, 771, 773, 777, 807, 843, 901, 929, 977, 1056, 1105, 1186, 1298, 1374, 1417, 1469, 1519, 1538, 1546, 1551, 1551, 1551, 1553, 1553, 1553, 1553, 1554, 1558, 1562, 1567, 1570, 1571, 1577, 1587, 1596, 1616, 1622, 1626, 1627, 1627, 1627, 1627, 1627, 1627]","[1008, 1004, 997, 992, 980, 958, 938, 924, 889, 857, 795, 779, 715, 670, 623, 608, 584, 552, 533, 501, 462, 434, 419, 397, 367, 348, 340, 330, 324, 314, 306, 293, 278, 260, 250, 237, 212, 191, 176, 151, 118, 97, 86, 65, 54, 41, 35, 28, 25, 25, 25, 25]"
"1","incongruent","1050","2","816","rightIncongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0]","right","1680","[839, 833, 829, 825, 823, 819, 811, 804, 796, 784, 769, 761, 756, 742, 728, 700, 686, 664, 642, 638, 638, 647, 676, 715, 786, 828, 899, 1004, 1080, 1127, 1195, 1265, 1312, 1319, 1337, 1344, 1358, 1366, 1376, 1397, 1414, 1427, 1445, 1466, 1474, 1489, 1508, 1525, 1537, 1554, 1572, 1588, 1593, 1609, 1611, 1613, 1613, 1613]","[1008, 1000, 992, 981, 976, 968, 956, 945, 937, 925, 912, 903, 898, 885, 870, 839, 819, 775, 711, 674, 654, 627, 590, 557, 501, 476, 442, 418, 403, 390, 371, 344, 318, 312, 293, 281, 262, 255, 241, 220, 204, 194, 178, 156, 147, 135, 120, 110, 103, 92, 75, 59, 56, 47, 46, 44, 44, 44]"
"1","congruent","1050","1","698","leftCongruent.jpg","113","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0]","left","1680","[851, 867, 879, 890, 912, 927, 940, 942, 945, 945, 946, 951, 966, 993, 1008, 1013, 1012, 991, 956, 925, 843, 771, 663, 607, 524, 439, 385, 351, 305, 247, 225, 211, 183, 153, 110, 104, 101, 104, 110, 114, 123, 139, 149, 149, 149, 149, 149, 149, 149]","[998, 982, 967, 956, 930, 908, 876, 868, 836, 815, 788, 772, 746, 711, 681, 662, 633, 599, 570, 554, 524, 501, 469, 452, 421, 390, 367, 351, 320, 269, 242, 228, 201, 183, 165, 163, 161, 159, 155, 151, 145, 135, 129, 125, 123, 123, 123, 123, 123]"
